Nombre,Alias,Empresa matriz,Estado,Cliente,Proveedor,Fecha de creación,Última fecha de modificación,Código de cliente,Código de proveedor,Código contable,Código contable proveedor,Dirección,Código postal,Ciudad,Estado/Provincia,Región,País,Código de país,Teléfono,Fax,Url,Correo,Idioma predeterminado,Canvas,ID Profesional 1,ID Profesional 2,ID Profesional 3,ID Profesional 4,ID Profesional 5,ID Profesional 6,ID de IVA,Capital,Nota (privada),Nota (pública),Tipo de tercero,Empleados,Tipo de entidad comercial,Cliente potencial,Estatus del cliente potencial,Condiciones de pago,Tipo de pago,Importe máximo para facturas pendientes,Cuenta bancaria de pago,Incoterms
ELECTROCONTROLES INDUSTRIALES SA DE CV,ECI,,1,0,1,2021-06-14 15:21:48,2021-06-17 07:28:44,,SU2106-00007,,,AV. GUSTAVO BAZ PRADA #222-A COL. BELLA VISTA,54080,TLALNEPANTLA,MEX,Mexique,Mexique,MX,55-2628-2910EXT102,,ecis.acv.com,,,,,,,,,,,,,,,,,,0,,,,,
ELECSA EQUIPOS INDUSTRIALES SA DE CV,ELECSA,,1,0,1,2021-06-14 15:28:28,2021-06-17 07:26:13,,SU2106-00008,,,REVILLAGIGEDO #37 COL. CENTRO,,CDMX,CMX,Mexique,Mexique,MX,55-5029-2600,55-5219-6754,elecsa.com.mx,,,,EEI130828S9A,,,,,,,,,,,,,,0,,,,,
EMPAQUES PLEGADIZOS MODERNOS S DE RL DE CV,GRUPO GONDI,,1,1,0,2021-06-14 15:52:21,2021-07-16 08:12:04,CU2106-00015,,,,DE LAS FLORES 42 LOS REYES ACAQUILPAN,56400,LA PAZ,MEX,Mexique,Mexique,MX,55-5858-0367,,grupogondi.com,,,,EPM9903027I6,,,,,,,,,,Grand groupe,,,,0,,,,,
ENDRESS+HAUSER,PAULINA LIZARRAGA,,1,0,1,2021-06-14 16:20:33,2021-06-14 09:20:33,,SU2106-00009,,,FERNANDO MONTES DE OCA #21 EDIF A COL SAN NICOLAS,54030,TLALNEPANTLA,MEX,Mexique,Mexique,MX,55-5321-2080,55-8044-5906,mx.endress.com,paulina.lizarrga@endress.com,,,,,,,,,,,,,,,,,0,,,,,
INDUSTRIAL PAPELERA VENUS SA DE CV,FEDRIGONI,,1,1,0,2021-06-14 16:31:26,2021-06-17 13:41:58,CU2106-00016,,,,EMILIANO ZAPATA #86 SAN JERONIMO TEPETLACALCO,54090,TLALNEPANTLA,MEX,Mexique,Mexique,MX,55-5397-3777,,fedrigoni.com,,,,IPV841114VA5,,,,,,,,,,,,,,0,,,,,
FESTO,FRANCISCO OROZCO,,1,0,1,2021-06-14 16:48:22,2021-06-14 09:48:39,,SU2106-00010,,,FUENTE DE CIBELES #8-A FUENTES DEL VALLE,54910,TULTITLAN,MEX,Mexique,Mexique,MX,55-5890-3787,55-2299-1487,,fcon.56@gmail.com,,,OONF561004EN0,,,,,,,,,,,,,,0,,,,,
FRIGUSCENTER REFACCIONES,,,1,0,1,2021-06-14 16:59:40,2021-06-14 10:00:33,,SU2106-00011,,,OCTLI MZ.177 LT 17 COL ARTESANOS,56334,CHIMALHUACAN,MEX,Mexique,Mexique,MX,55-1551-68-69,,friguscenter.com,ventas@friguscenter.com,,,CPD151009JU2,,,,,,,,,,,,,,0,,,,,
ARTES GRAFICAS UNIDAS SA DE CV,GALAS DE MEXICO,,1,1,0,2021-06-14 17:15:49,2021-07-16 07:54:46,CU2106-00017,,,,ORIENTE 174 #473 COL MOCTEZUMA 2a. SECC,15500,VENUSTIANO CARRANZA,CMX,Mexique,Mexique,MX,55-5133-7337,,galas.mx,,,,AGU850430M21,,,,,,,,,,Grand groupe,,,,0,,,,,
GATES DE MEXICO SA DE CV,,,1,1,0,2021-06-14 17:25:51,2021-07-16 08:13:13,CU2106-00018,,,,CALLE 6 ENTRE JAVIER VELEZ MERCADO Y OCTAVIO RUIZ MZ.17 LT 1 COL.PARQUE INDUSTRIAL ATLACOMULCO,50450,ATLACOMULCO,MEX,Mexique,Mexique,MX,722-478-1447,,gates.com,,,,,,,,,,,,,,Grand groupe,,,,0,2,2,,,
CONVERTIDOR DE PAPEL SA DE CV,CONVERTIPAP,,1,1,0,2021-06-14 19:02:30,2021-07-16 07:58:08,CU2106-00019,,,,KM.30.5 CARRETERA FEDERAL MEXICO PUEBLA COL IXTAPALUCA CENTRO,56530,IXTAPALUCA,MEX,Mexique,Mexique,MX,55-5063-2500,,convertipap.com.mx,,,,CPA0007158L0,,,,,,,,,,Grand groupe,,,,0,,,,,
IFM EFECTOR S DE RL DE CV,VERONICA LOZANO,,1,0,1,2021-06-14 20:54:36,2021-06-14 13:54:50,,SU2106-00012,,,AV. ARQ. PEDRO RAMIREZ VAZQUEZ #200-A COL.VALLE ORIENTE,66269,SAN PEDRO GARZA GARCIA,NLE,Mexique,Mexique,MX,81-8040-3535,800-813-4363,ifm.com,clientes.mx@ifm.com,,,IEF0301023F0,,,,,,,,,,,,,,0,,,,,
KIEKERT DE MEXICO SA DE CV,,,1,1,0,2021-06-14 21:02:58,2021-06-17 14:02:37,CU2106-00020,,,,AUTOPISTA PUEBLA-ORIZABA KM.14.5 PARQUE INDUSTRIAL CHACHAPA,72990,AMOZOC,PUE,Mexique,Mexique,MX,(222)223-9524,,kiekert.com,,,,KME910122935,,,,,,,,,,,,,,0,,,,,
KIMBERLY-CLARK DE MEXICO SAB DE CV,,,1,1,0,2021-06-14 21:34:00,2021-06-17 14:13:42,CU2106-00021,,,,AV. DE LAS TORRES #87 JAJALPA,55090,ECATEPEC DE MORELOS,MEX,Mexique,Mexique,MX,55-5836-2400EXT2256,,kcc.com,,,,CIN921008RR2,,,,,,,,,,,,,,0,,,,,
KOBREX SA DE CV,,,1,1,0,2021-06-14 21:39:37,2021-06-17 15:00:51,CU2106-00022,,,,CAMINO HUINALA MEZQUITAL # 800 CENTRO,66600,APODACA,NLE,Mexique,Mexique,MX,81-8196-8600,EXT3126,kobrex.com,,,,KOB961111PY3,,,,,,,,,,,,,,0,,,,,
LEEISA,YASSEF MARTINEZ,,1,0,1,2021-06-14 21:54:50,2021-06-14 14:54:50,,SU2106-00013,,,AV. ING.EDUARDO MOLINA 1727 EJE 3 ORIENTE COL NUEVA ATZACOALCO,7420,CDMX,CMX,Mexique,Mexique,MX,55-5767-1259,55-5767-1099,,ym.leeisa@gmail.com,,,,,,,,,,,,,,,,,0,,,,,
MADERAS CONGLOMERADAS SA DE CV,,,1,1,0,2021-06-14 22:12:50,2021-06-17 15:06:57,CU2106-00023,,,,SAN JOSE #2 SAN JUAN IXHUATEPEC,54180,TLALNEPANTLA,MEX,Mexique,Mexique,MX,55-57155870EXT180,,macosa.com,,,,MCO800529JN8,,,,,,,,,,,,,,0,6,2,,,
MOUSER ELECTRONICS,LUCY ALMAZAN,,1,0,1,2021-06-14 22:19:35,2021-06-14 15:20:00,,SU2106-00014,,,AV. MOCTEZUMA #3515 INT-M1 CD. DEL SOL,45050,ZAPOPAN,JAL,Mexique,Mexique,MX,33-3612-7301,,mouser.com,lucy.almazan@mouser.com,,,,,,,,,,,,,,,,,0,,,,,
NESTOR BASILIO HERNANDEZ,DISTRIBUIDOR PARKER NEUMATICA E HIDRAULICA,,1,1,0,2021-06-14 22:31:01,2021-06-17 15:12:19,CU2106-00024,,,,SATURNO #34 COL ARCOS DE LA HACIENDA,54730,CUATITLAN IZCALLI,MEX,Mexique,Mexique,MX,55-2451-8828,,,,,,BAHN651125AC9,,,,,,,,,,,,,,0,,,,,
PAPELES Y CONVERSIONES DE MEXICO SA DE CV,PCM,,1,1,0,2021-06-15 14:36:01,2021-06-17 15:30:00,CU2106-00025,,,,CERRO DE LA SILLA #101 COL DIVISION DEL NORTE,,GUADALUPE,NLE,Mexique,Mexique,MX,81-8127-7700,,pcm.com.mx,,,,PCM9307212B8,,,,,,,,,,,,,,0,,,,,
INGENIERIA Y AUTOMATIZACION TOTAL SA DE CV,PEDRO MENDEZ,,1,1,0,2021-06-15 14:43:13,2021-06-17 15:09:57,CU2106-00026,,,,,,TLALNEPANTLA,MEX,Mexique,Mexique,MX,55-2529-9718,,,,,,IAT030926J86,,,,,,,,,,,,,,0,6,2,,,
ALICA SA DE CV,,,1,1,0,2021-06-15 14:49:43,2021-07-16 07:53:07,CU2106-00027,,,,CANAL DE APLATACO #43,9430,APLATACO,CMX,Mexique,Mexique,MX,5959231601,,alica.com.mx,,,,RORE870610GY9,,,,,,,,,,Grand groupe,,,,0,8,,,,
POLYCEL DE MEXICO SA DE CV,,,1,1,0,2021-06-15 14:58:30,2021-06-17 15:38:08,CU2106-00028,,,,AV. DEL CANAL #16 COL GUADALUPE DEL MORAL,9300,IZTAPALAPA,CMX,Mexique,Mexique,MX,55-5694-9333,,gpolycel.com,rafaelacevedo@gpolycel.com,,,PME-840509-F4A,,,,,,,,,,,,,,0,2,,,,
PROYECTOS DE OPTIMIZACION Y SISTEMAS AUTOMATICOS SA DE CV (PROPYSA),EDUARDO ISIDRO,,1,0,1,2021-06-15 15:07:47,2021-06-15 08:08:00,,SU2106-00015,,,AV. LEGARIA 779-201 COL. IRRIGACION,11500,MIGUEL HIDALGO,CMX,Mexique,Mexique,MX,55-5557-0814,,shop.propysa.net,eduardo.isidro@propysa.net,,,POS860527HT4,,,,,,,,,,,,,,0,,,,,
RISOUL Y CIA SA DE CV,RODRIGO FERRUSCA,,1,0,1,2021-06-15 15:21:55,2021-06-15 08:22:04,,SU2106-00016,,,AV.TOCHTLI #323-3 FRACC. INDUSTRIAL SAN ANTONIO,2760,AZCAPOTZALCO,CMX,Mexique,Mexique,MX,55-5354-4100,,risoul.com.mx,rodrigo.ferrusca@risoul.com.mx,,,,,,,,,,,,,,,,,0,,,,,
STARPLAST DE MEXICO SA DE CV,,,1,1,0,2021-06-15 15:32:38,2021-06-17 15:42:49,CU2106-00029,,,,"ORIENTE 7 EJE 3ro. S/N MZ.XXI, LOTE 6 Y 7 PARQUE INDUSTRIAL",,TEPEJI DEL RIO,QRO,Mexique,Mexique,MX,773-7310-316,,starplast.com.mx,,,,SME0510039E6,,,,,,,,,,,,,,0,2,,,,
FLUSISTEMAS S DE RL DE CV (SWAGELOK),FABRICIO UGARTE,,1,0,1,2021-06-15 15:46:37,2021-06-15 08:46:50,,SU2106-00017,,,ANTONIO J BERMUDEZ 1181-5 PARQUE INDUSTRIAL ARROYO J BERMUDEZ,32470,CD. JUAREZ CHIHUAHUA,CHI,Mexique,Mexique,MX,(55)26280526,5227,mexico.swagelok.com.mx,fabricio.ugarte@swagelok-mx.com,,,FLU 040210 ? EY1,,,,,,,,,,,,,,0,,,,,
THALES DIS MEXICO SA DE CV,,,1,1,0,2021-06-15 16:05:03,2021-06-17 15:50:09,CU2106-00030,,,,CALLE 9 ESTE # 192 COL CIVAC,62578,JIUTEPEC,MOR,Mexique,Mexique,MX,5556401817,,thalesgroup.com,,,,GME9606038V6,,,,,,,,,,,,,,0,2,,,,
TM2000 EQUIPOS ELECTRICOS SA DE CV,ERICKA CASTILLO,,1,0,1,2021-06-15 16:15:30,2021-06-15 09:15:41,,SU2106-00018,,,FRANCISCO SARABIA 8 COL. PROVIDENCIA,2440,AZCAPOTZALCO,CMX,Mexique,Mexique,MX,55-1068-0309,,tm2000.com.mx,ventas@tm2000.com.mx,,,TDM991215LQ0,,,,,,,,,,,,,,0,,,,,
VUTEQ INDUSTRIES MEXICO SA DE CV,,,1,1,0,2021-06-15 16:28:11,2021-06-18 07:29:24,CU2106-00031,,,,AV BANGALORE # 303 PARQUE INDUSTRIAL LOGISTIK 2 LAGUNA SAN VICENTE,79526,VILLA DE REYES,SLP,Mexique,Mexique,MX,,,vuteq.mx,,,,VIM120919HE3,,,,,,,,,,,,,,0,2,,,,
Cliente Pruebas,Pruebas,,1,1,1,2021-06-15 17:18:40,2021-06-16 11:47:28,CU2106-00032,SU2106-00019,,,"La arboleda 24, Fraccionamiento Los Pastores",53340,Naucalpan,MEX,Mexique,Mexique,MX,5553417553,,serviconmexico.com.mx,miguel@serviconmexico.com.mx,,,SIC0001116VA,,,,,,,,,,,,,,0,,,,,
ERNESTO ALFONSO MORENO INTERIA,,,1,1,0,2021-06-15 18:17:11,2021-07-16 08:12:23,CU2106-00033,,,,CALLE 10 #910 COL. REVOLUCION,25779,MONCLOVA,COA,Mexique,Mexique,MX,8666481559,,,ipmva219@gmail.com,,,MOIE 730113M51,,,,,,,,,,Particulier,,,,0,6,,,,
GRUPO FOX SA DE CV,,,1,1,0,2021-06-15 18:54:21,2021-07-16 08:23:30,CU2106-00034,,,,CARRETERA 57 KM.172 TRAMO SALTILLO MONCLOVA,,SALTILLO,COA,Mexique,Mexique,MX,866-697-10-22,,grupofox.com,,,,GFO990909TD5,,,,,,,,,,Grand groupe,,,,0,6,,,,
EUROCONT Y AUTOMATIZACION,EUROCONT,,1,0,1,2021-06-17 16:50:13,2021-06-17 09:50:13,,SU2106-00020,,,VICTORIA # 101 LOCAL 19 COL CENTRO,6010,CUAUHTEMOC,CMX,Mexique,Mexique,MX,555512-3517,,eurocont.com.mx,eurocont@eurocont.mx,,,EAU2011131H1,,,,,,,,,,,,,,0,,,,,
INDUSTRIAS PLAYCON SA DE CV,PLAYCON,,1,1,0,2021-06-18 17:50:14,2021-06-18 10:50:14,CU2106-00035,,,,CAMPESINOS #411 COL.SANTA ISABEL INDUSTRIAL,9820,IZTAPALAPA,CMX,Mexique,Mexique,MX,"(55)55981144,",,playcon.mx,,,,IPL830831US0,,,,,,,,,,,,,,0,,,,,
GRAPHIC PACKAGING INTERNATIONAL,,,1,1,0,2021-06-18 18:11:54,2021-07-16 08:14:55,CU2106-00036,,,,CARRETERA AL CAMPO MILITAR 1 SAN ANONIO DE LA PUNTA,76135,SANTIAGO DE QUERETARO,QRO,Mexique,Mexique,MX,4421535600,,es.graphicpkg.com,,,,,,,,,,,,,,Grand groupe,,,,0,8,,,,
B Y M MANTENIMIENTO PREDICTIVO SA DE CV,,,1,1,0,2021-06-18 21:37:28,2021-07-16 07:55:37,CU2106-00037,,,,SAN FRANCISCO 37 COL ANALCO,62166,CUERNAVACA,MOR,Mexique,Mexique,MX,7773720022,,balanceoymantenimiento.com.mx,ventas@balanceoymantenimiento.com.mx,,,BMM101011892,,,,,,,,,,Particulier,,,,0,6,,,,
POSCO MPPC SA DE CV,,,1,1,0,2021-06-21 14:21:09,2021-06-21 07:21:09,CU2106-00038,,,,CARRUSEL 1 PTE #106 LT4 PARQUE INDUSTRIAL LOGISTIK,79526,VILLA DE REYES,SLP,Mexique,Mexique,MX,4441374000,,poscomppc.com,,,,PMP060127R53,,,,,,,,,,,,,,0,,,,,
JUANITA ARRIAGA HERNENDEZ,COM-PART,,1,1,0,2021-06-21 14:41:15,2021-06-21 10:50:46,CU2106-00039,,,,HACIENDA DE GUADALUPE #431 VILLAS DE HUINALA I,66634,APODACA NUEVO LEON,NLE,Mexique,Mexique,MX,8116536224,,,compartif@gmail.com,,,AIHJ-691104-991,,,,,,,,,,,,,,0,,,,,
SEALED AIR,,,1,1,0,2021-06-21 14:52:51,2021-06-21 10:51:05,CU2106-00040,,,,Av. Parque industrial Monterrey #506 Parque industrial Monterrey,,APODACA,NLE,Mexique,Mexique,MX,8181969500Ext9717,,sealedair.mx,,,,,,,,,,,,,,,,,,0,,,,,
GLF TECNO AUTOMATION MÉXICO SA DE CV.,GL AUTOMATION,,1,1,0,2021-06-21 15:03:46,2021-07-16 08:14:27,CU2106-00041,,,,JOSE AGUILAR Y MAYA # 314 LOS LAURELES,37446,LEON,GTO,Mexique,Mexique,MX,1(477)3305501,,,gecape78@gmail.com,,,RIAB790831JLA,,,,,,,,,,Particulier,,,,0,,,,,
GIGA TECH GEAR SA DE CV,,,1,1,0,2021-06-21 15:14:05,2021-07-16 08:14:01,CU2106-00042,,,,AV. DE LA SALVACION #791 INT.305 FRACC. RANCHO MENCHACA COL. BALCONES COLONIALES,76140,SANTIAGO DE QUERETARO,QRO,Mexique,Mexique,MX,4423131429,,,gigatechgear@gmail.com,,,GTG140718MY0,,,,,,,,,,Particulier,,,,0,,,,,
MIGUEL ANGEL DE LA ROSA,,,1,1,0,2021-06-21 17:55:39,2021-06-22 10:36:14,CU2106-00043,,,,BAENA NUM. 41 FRACCIONAMIENTO VILLA DEL REAL TERCERA SECCION,55760,TECAMAC,MEX,Mexique,Mexique,MX,,,,madh_ness@hotmail.com,,,ROHM750929SV5,,,,,,,,,,,,,,0,,,,,
IZQREAL SA DE CV,,,1,1,0,2021-06-21 18:06:10,2021-06-22 10:35:59,CU2106-00044,,,,ADOLFO LOPEZ MATEOS No. 1250 JARDINES DE CELAYA,38080,CELAYA,GTO,Mexique,Mexique,MX,(461)1591000,,,,,,IZQ150923U54,,,,,,,,,,,,,,0,,,,,
ESQUEMA MW SA DE CV,,,1,1,0,2021-06-21 18:22:14,2021-07-16 08:12:41,CU2106-00045,,,,,,,,,Mexique,MX,,,,,,,EMW150708NI3,,,,,,,,,,Particulier,,,,0,,,,,
LINDA HERMINIA HERRERA DOMINGUEZ,SOLMEI,,1,1,0,2021-06-21 19:01:26,2021-06-21 12:01:26,CU2106-00046,,,,LASIO #116 COL. SAN LORENZO,78433,SOLEDAD DEL GRACIANO,SLP,Mexique,Mexique,MX,4443701741,,solmeiautomation.com,,,,HEDL800406ER8,,,,,,,,,,,,,,0,,,,,
EMBOTELLADORA MAYOL SA DE CV,,,1,1,0,2021-06-21 19:11:02,2021-07-16 08:11:17,CU2106-00047,,,,CAMINO A JALTEPEC HUAJOMULCO KM 1.7 S/N,43540,ACATLAN HIDALGO,HGO,Mexique,Mexique,MX,(775)7541420,,embotelladora-mayol.com,,,,EMA960131KX3,,,,,,,,,,Grand groupe,,,,0,6,,,,
INGENIERIA Y PRODUCTOS DE ACERO SA DE CV,IPASA,,1,1,0,2021-06-21 21:09:40,2021-06-21 14:09:56,CU2106-00048,,,,MARIANO ESCOBEDO #163 CENTRO INDUSTRIAL SAN LORENZO,54030,TLALNEPANTLA,MEX,Mexique,Mexique,MX,(55)4742-1057,,ipasa.mx,ventas@ipasa.mx,,,IPA 850228 5V3,,,,,,,,,,,,,,0,6,,,,
JOSE ANTONIO RAYA ALEJANDRO,COMERCIALIZADORA PARA EL MANTENIMIENTO INDUSTRIAL,,1,1,0,2021-06-23 14:56:59,2021-06-23 07:56:59,CU2106-00049,,,,CDA. EX HACIENDA SAN CARLOS #4-A COL. EX HDA SAN FELIPE,55710,COACALCO,MEX,Mexique,Mexique,MX,55-2159-2071,,,,,,RAAA690117441,,,,,,,,,,,,,,0,,,,,
INDEFACO SA DE CV,,,1,1,0,2021-06-23 15:13:26,2021-07-16 08:24:26,CU2106-00050,,,,"BLVD. IGNACIO ZARAGOZA 252 MZ 226. L1, COL. PRIMERO DE SEPTIEMBRE",52910,ATIZAPAN DE ZARAGOZA,MEX,Mexique,Mexique,MX,55-2164-4703,,indefaco.com.mx,,,,IND1001146P2,,,,,,,,,,Particulier,,,,0,6,,,,
INDUSTIRAS JLC SA DE CV,CLARASOL,,1,1,0,2021-06-23 15:32:26,2021-06-23 08:32:41,CU2106-00051,,,,CALZ. SAN LORENZO TEZONCO #201 SAN NICOLAS TOLENTINO,9850,IZTAPALAPA,CMX,Mexique,Mexique,MX,55-5612-1225,,clarasol.com,,,,IJL841201P50,,,,,,,,,,,,,,0,6,,,,
LUCAS SUPPLY PARTS S DE RL DE CV,,,1,1,0,2021-06-23 16:54:17,2021-06-23 09:54:17,CU2106-00052,,,,PRIVADA TEHUISTATL #1 SAN PEDRO MARTIR,14650,TLALPAN,CMX,Mexique,Mexique,MX,5561168166,,,,,,LSP1601194Y9,,,,,,,,,,,,,,0,,,,,
